,ID,TITLE,PRICE,PRICE PER SQ. M.,BEDROOMS,BATHROOMS,SIZE,POOL,URL,IMG,NEW BUILD,*ROOMS*,*KITCHEN*,*BATHROOM*,*GARDEN*,*OUTSIDE*,*HEATING*,*POOL*,*BUILDINGS*,*TENURE*,*UTILITIES*,*ENERGY CONSUMPTION RATING*,*SECURITY*,*PARKING*,*PLOT SIZE*,*LEISURE*,*VIEWS*,*QUALITY*,LAT,LON
235,3975925,2 bedroom Villa for sale in Malaga,290000.0,,2,,,False,https://www.kyero.com/en/property/3975925,http://production.kyero.s3.amazonaws.com/3975/3975925/46114462_original.jpg,True,,,,garden,roof terrace,,private pool,,,,Awaiting details,,garage,,,,,36.719623,-4.420023
236,4260595,2 bedroom Apartment for sale in Malaga,190000.0,,2,,,False,https://www.kyero.com/en/property/4260595,http://production.kyero.s3.amazonaws.com/4260/4260595/54363019_original.jpg,True,,,,beautiful garden,various terraces,,,,,,Awaiting details,gated complex,,,,,,36.719623,-4.420023
237,4378246,2 bedroom Apartment for sale in Malaga,249000.0,,2,,,False,https://www.kyero.com/en/property/4378246,http://production.kyero.s3.amazonaws.com/4378/4378246/49520997_original.jpg,True,,,,,,,,,,,Awaiting details,gated complex,underground parking,,,,modern,36.719623,-4.420023
238,3269555,3 bedroom Villa for sale in Malaga,597000.0,,3,,,False,https://www.kyero.com/en/property/3269555,http://production.kyero.s3.amazonaws.com/3269/3269555/46114457_original.jpg,True,,,,garden,"sunny terraces, level plot",open fireplace,private pool,,,,Awaiting details,,,,,,,36.719623,-4.420023
239,4249814,2 bedroom Apartment for sale in Malaga,238000.0,,2,,,True,https://www.kyero.com/en/property/4249814,http://production.kyero.s3.amazonaws.com/4249/4249814/47147466_original.jpg,True,,,,beautiful garden,,,,,,,Awaiting details,,parking,,,sea views,,36.719623,-4.420023
240,3975943,3 bedroom Villa for sale in Malaga,397000.0,,3,,,True,https://www.kyero.com/en/property/3975943,http://production.kyero.s3.amazonaws.com/3975/3975943/46114483_original.jpg,True,,,,,,gas central heating,private pool,,,,Awaiting details,,garage,,,,,36.719623,-4.420023
241,4256815,2 bedroom Apartment for sale in Malaga,174500.0,,2,,,False,https://www.kyero.com/en/property/4256815,http://production.kyero.s3.amazonaws.com/4256/4256815/47263002_original.jpg,True,reception with fireplace,,,,various terraces,,,,,,Awaiting details,24h security system,,,,,modern,36.719623,-4.420023
242,4256816,3 bedroom Apartment for sale in Malaga,225000.0,,3,,,False,https://www.kyero.com/en/property/4256816,http://production.kyero.s3.amazonaws.com/4256/4256816/47263015_original.jpg,True,,,,,various terraces,,,,,,Awaiting details,,underground parking,,,mountain views,spacious accommodation,36.719623,-4.420023
243,4601275,3 bedroom Apartment for sale in Malaga,189700.0,,3,,,False,https://www.kyero.com/en/property/4601275,http://production.kyero.s3.amazonaws.com/4601/4601275/53931598_original.jpg,True,,,,,,pre-installed air-conditioning,communal pool,,,,Awaiting details,,underground parking,,,,,36.719623,-4.420023
244,4617258,2 bedroom Apartment for sale in Malaga,229000.0,,2,,,False,https://www.kyero.com/en/property/4617258,http://production.kyero.s3.amazonaws.com/4617/4617258/54237360_original.jpg,True,,,,large garden,,,"space for pool, communal pool",,,,Awaiting details,,garage,,,,,36.719623,-4.420023
245,4617304,4 bedroom Apartment for sale in Malaga,589000.0,,4,,,False,https://www.kyero.com/en/property/4617304,http://production.kyero.s3.amazonaws.com/4617/4617304/54237933_original.jpg,True,,,,,,,private pool,possibility to build,,,Awaiting details,,,,,,"newly built, modern",36.719623,-4.420023
246,4645432,4 bedroom Apartment for sale in Malaga,265000.0,,4,,,False,https://www.kyero.com/en/property/4645432,http://production.kyero.s3.amazonaws.com/4645/4645432/54703851_original.jpg,True,reception with fireplace,,,,covered terrace,underfloor heating throughout,,,,,Awaiting details,,,,,,,36.719623,-4.420023
247,4617243,2 bedroom Apartment for sale in Malaga,188000.0,,2,,,False,https://www.kyero.com/en/property/4617243,http://production.kyero.s3.amazonaws.com/4617/4617243/54237141_original.jpg,True,reception with fireplace,,,,sunny terraces,,communal pool,,,,Awaiting details,,,,,sea views,spacious accommodation,36.719623,-4.420023
